"Numer RSPO";Typ;Nazwa;Ulica;"Numer budynku";"Numer lokalu";"Kod pocztowy";Miejscowość;"Kod terytorialny ulica";"Kod terytorialny miejscowosc";"Kod terytorialny gmina";Telefon;Faks;E-mail;"Strona www";Województwo;Powiat;Gmina;REGON;NIP;"Publiczność status";"Kategoria uczniów";"Specyfika placówki";"Imię i nazwisko dyrektora";"Nazwa organu prowadzącego";"Typ organu prowadzącego";"Województwo organu prowadzącego";"Powiat organu prowadzącego";"Gmina organu prowadzącego";"Data założenia";"Data likwidacji";"Miejsce w strukturze";"Typ podmiotu nadrzędnego";"RSPO podmiotu nadrzędnego";"Nazwa podmiotu nadrzędnego"
122972;"Szkoła podstawowa";"PIERWSZA SZKOŁA PODSTAWOWA MONTESSORII W GORZOWIE WLKP.";"ul. Słowiańska";"1 ";" ";"66-400 ";"Gorzów Wielkopolski";20294;0935140;0861011;"733100133 ";" ";szkola@montessorigorzow.pl;http://www.montessorigorzow.pl;LUBUSKIE;"Gorzów Wielkopolski";"Gorzów Wielkopolski - gmina miejska";"081207896 ";" ";niepubliczna;"Dzieci lub młodzież";"brak specyfiki";"Piotr Zwierzchlewski";"STOWARZYSZENIE EDUKACYJNE ""RAZEM""";Stowarzyszenia;LUBUSKIE;"Gorzów Wielkopolski";"Gorzów Wielkopolski";2014-02-17;;samodzielna;;;
133300;"Liceum ogólnokształcące";"AKADEMICKIE LICEUM MISTRZOSTWA SPORTOWEGO W GORZOWIE WIELKOPOLSKIM";"ul. Fryderyka Chopina";"52 ";" ";"66-400 ";"Gorzów Wielkopolski";02849;0935140;0861011;"957216007 ";"957216007 ";sekretariat.alms@ajp.edu.pl;http://www.alms.ajp.edu.pl;LUBUSKIE;"Gorzów Wielkopolski";"Gorzów Wielkopolski - gmina miejska";"366972834 ";" ";niepubliczna;"Dzieci lub młodzież";"brak specyfiki";"Renata Janicka - Szyszko";"AKADEMIA IM. JAKUBA Z PARADYŻA";"Szkoły Wyższe Publiczne";LUBUSKIE;"Gorzów Wielkopolski";"Gorzów Wielkopolski";2016-12-27;;samodzielna;;;
263796;"Szkoła policealna";"POLICEALNA SZKOŁA DLA DOROSŁYCH COSINUS PLUS W GORZOWIE WIELKOPOLSKIM";"ul. Franciszka Walczaka";"25 ";" ";"66-400 ";"Gorzów Wielkopolski";23519;0935140;0861011;"957258544 ";" ";gorzow@cosinus.pl;http://www.cosinus.pl;LUBUSKIE;"Gorzów Wielkopolski";"Gorzów Wielkopolski - gmina miejska";"368224987 ";" ";niepubliczna;"Bez kategorii";"brak specyfiki";"ELŻBIETA POŁOMKA";"FUNDACJA RIDETON";Fundacje;ŁÓDZKIE;Łódź;Łódź-Śródmieście;2015-10-07;;samodzielna;;;
125968;"Szkoła policealna";"AKADEMIA MSP OCHRONY ZDROWIA I URODY SZKOŁA POLICEALNA";"ul. Targowa";"9 ";" ";"66-400 ";"Gorzów Wielkopolski";22659;0935140;0861011;" ";" ";dyrektor@akademiamsp.eu;http://www.akademiamsp.eu;LUBUSKIE;"Gorzów Wielkopolski";"Gorzów Wielkopolski - gmina miejska";"360139740 ";" ";niepubliczna;"Bez kategorii";"brak specyfiki";"DARIUSZ PILCH";"MONIKA SEKITA - PILCH";"Osoba fizyczna";LUBUSKIE;"Gorzów Wielkopolski";"Gorzów Wielkopolski";2007-09-17;;samodzielna;;;
12237;"Zespół szkół i placówek oświatowych";"ZESPÓŁ SZKÓŁ OGÓLNOKSZTAŁCĄCYCH NR 1 W GORZOWIE WLKP.";"ul. Aleksandra Puszkina";"31 ";" ";"66-400 ";"Gorzów Wielkopolski";18209;0935140;0861011;"957204842 ";" ";1lo@edu.gorzow.pl;http://;LUBUSKIE;"Gorzów Wielkopolski";"Gorzów Wielkopolski - gmina miejska";"210203150 ";"5991101844 ";publiczna;"Bez kategorii";"brak specyfiki";"MARIUSZ BINIEWSKI";"MIASTO GORZÓW WIELKOPOLSKI";"Miasto na prawach powiatu";LUBUSKIE;"Gorzów Wielkopolski";"Gorzów Wielkopolski";1994-01-01;;zespół;;;
12260;"Zespół szkół i placówek oświatowych";"ZESPÓŁ SZKÓŁ BUDOWLANYCH I SAMOCHODOWYCH IM. MIKOŁAJA KOPERNIKA W GORZOWIE WLKP.";"ul. Stefana Okrzei";"42 ";" ";"66-400 ";"Gorzów Wielkopolski";14914;0935140;0861011;"957201733 ";"957201734 ";zsb@edu.gorzow.pl;http://zsb.edu.gorzow.pl;LUBUSKIE;"Gorzów Wielkopolski";"Gorzów Wielkopolski - gmina miejska";"210203210 ";"5991113712 ";publiczna;"Bez kategorii";"brak specyfiki";"Tadeusz Najdora";"MIASTO GORZÓW WIELKOPOLSKI";"Miasto na prawach powiatu";LUBUSKIE;"Gorzów Wielkopolski";"Gorzów Wielkopolski";1994-01-01;;zespół;;;
115414;Bursa;"BURSA SIÓSTR MARYI  NIEPOKALANEJ DLA DZIEWCZĄT";"ul. Koniawska";"51 ";" ";"66-400 ";"Gorzów Wielkopolski";09142;0935140;0861011;"957239677 ";" ";bursa@bursasmi.gorzow.pl;http://www.bursasmi.gorzow.pl;LUBUSKIE;"Gorzów Wielkopolski";"Gorzów Wielkopolski - gmina miejska";"081146060 ";" ";niepubliczna;"Bez kategorii";"brak specyfiki";"DANUTA MĘDRALA";"ZGROMADZENIE SIÓSTR MARYI NIEPOKALANEJ PROWINCJA POLSKA";"Organizacje Wyznaniowe";DOLNOŚLĄSKIE;Wrocław;Wrocław-Śródmieście;1992-11-18;;samodzielna;;;
68541;"Szkoła podstawowa";"SZKOŁA PODSTAWOWA NR 15 IM. WOJSKA POLSKIEGO W GORZOWIE WLKP.";"ul. Aleksandra Kotsisa";"1 ";" ";"66-400 ";"Gorzów Wielkopolski";09634;0935140;0861011;"957228729 ";" ";sp15@edu.gorzow.pl;http://;LUBUSKIE;"Gorzów Wielkopolski";"Gorzów Wielkopolski - gmina miejska";"210202988 ";"5991101755 ";publiczna;"Dzieci lub młodzież";"brak specyfiki";"Maria Traczyk";"MIASTO GORZÓW WIELKOPOLSKI";"Miasto na prawach powiatu";LUBUSKIE;"Gorzów Wielkopolski";"Gorzów Wielkopolski";1994-01-01;;samodzielna;;;
126235;Przedszkole;"PRZEDSZKOLE NIEPUBLICZNE ""AKADEMIA SMYKA""";"ul. Sybiraków";"27 ";" ";"66-400 ";"Gorzów Wielkopolski";21641;0935140;0861011;"500068769 ";" ";akademia_smyka@wp.pl;http://www.akademia-smyka.cba.pl;LUBUSKIE;"Gorzów Wielkopolski";"Gorzów Wielkopolski - gmina miejska";"360199988 ";" ";niepubliczna;"Dzieci lub młodzież";"brak specyfiki";"Renata Szostak";"Renata Szostak";"Osoba fizyczna";LUBUSKIE;gorzowski;Santok;2013-09-23;;samodzielna;;;
89442;Przedszkole;"PRZEDSZKOLE NIEPUBLICZNE ""CHATKA KUBUSIA PUCHATKA""";"ul. Saska";"8 ";" ";"66-400 ";"Gorzów Wielkopolski";19551;0935140;0861011;"957352671 ";" ";jacekkur4@wp.pl;http://chatkakubusiapuchatka.edu.pl;LUBUSKIE;"Gorzów Wielkopolski";"Gorzów Wielkopolski - gmina miejska";"081089882 ";" ";niepubliczna;"Dzieci lub młodzież";"brak specyfiki";"Jacek Kurowski";"JACEK KUROWSKI";"Osoba fizyczna";LUBUSKIE;"Gorzów Wielkopolski";"Gorzów Wielkopolski";1999-08-02;;samodzielna;;;
126174;"Szkoła policealna";"EDUATUT POLICEALNA SZKOŁA ZAWODOWA W GORZOWIE WIELKOPOPSKIM";"ul. Fryderyka Chopina";"52 ";" ";"66-400 ";"Gorzów Wielkopolski";02849;0935140;0861011;"531522861 ";" ";w.dlugosz-bujak@eduatut.pl;http://www.eduvision.pl;LUBUSKIE;"Gorzów Wielkopolski";"Gorzów Wielkopolski - gmina miejska";"360166115 ";" ";niepubliczna;"Bez kategorii";"brak specyfiki";"P.O. WANDA DŁUGOSZ BUJAK";"GELINO GW SP. Z O.O.";"Spółki Handlowe";ŁÓDZKIE;Łódź;Łódź-Śródmieście;2009-08-25;;samodzielna;;;
68540;"Szkoła podstawowa";"SZKOŁA PODSTAWOWA NR 1 IM. MARII KONOPNICKIEJ W GORZOWIE WLKP.";"ul. gen. Jarosława Dąbrowskiego";"23 ";" ";"66-400 ";"Gorzów Wielkopolski";03676;0935140;0861011;"957226423 ";" ";sp1@edu.gorzow.pl;http://;LUBUSKIE;"Gorzów Wielkopolski";"Gorzów Wielkopolski - gmina miejska";"210202847 ";"5991376179 ";publiczna;"Dzieci lub młodzież";"brak specyfiki";"IWONA BUCHMIET";"MIASTO GORZÓW WIELKOPOLSKI";"Miasto na prawach powiatu";LUBUSKIE;"Gorzów Wielkopolski";"Gorzów Wielkopolski";1994-01-01;;samodzielna;;;
68544;"Szkoła podstawowa";"SZKOŁA PODSTAWOWA NR 4 IM. HENRYKA SIENKIEWICZA W GORZOWIE WLKP.";"ul. Kobylogórska";"110 ";" ";"66-400 ";"Gorzów Wielkopolski";08707;0935140;0861011;"957239621 ";" ";sp4@edu.gorzow.pl;http://;LUBUSKIE;"Gorzów Wielkopolski";"Gorzów Wielkopolski - gmina miejska";"211192565 ";"5992725570 ";publiczna;"Dzieci lub młodzież";"brak specyfiki";"Piotr Talaska";"MIASTO GORZÓW WIELKOPOLSKI";"Miasto na prawach powiatu";LUBUSKIE;"Gorzów Wielkopolski";"Gorzów Wielkopolski";2001-06-27;;samodzielna;;;
61833;Przedszkole;"MIEJSKIE PRZEDSZKOLE INTEGRACYJNE NR 9 IM. NA ZIELONYM WZGÓRZU W GORZOWIE WLKP.";"ul. Widok";"25 ";" ";"66-400 ";"Gorzów Wielkopolski";24011;0935140;0861011;"957321880 ";" ";p9@edu.gorzow.pl;http://;LUBUSKIE;"Gorzów Wielkopolski";"Gorzów Wielkopolski - gmina miejska";"080485653 ";"5993137154 ";publiczna;"Dzieci lub młodzież";"brak specyfiki";"MAŁGORZATA SZCZUCIŃSKA";"MIASTO GORZÓW WIELKOPOLSKI";"Miasto na prawach powiatu";LUBUSKIE;"Gorzów Wielkopolski";"Gorzów Wielkopolski";2010-05-26;;samodzielna;;;
108936;"Szkoła policealna";"EDUATUT POLICEALNA SZKOŁA MEDYCZNA W GORZOWIE WIELKOPOLSKIM";"ul. Fryderyka Chopina";"52 ";" ";"66-400 ";"Gorzów Wielkopolski";02849;0935140;0861011;"531552861 ";"531552861 ";w.dlugosz-bujak@eduatut.pl;http://www.eduatut.pl;LUBUSKIE;"Gorzów Wielkopolski";"Gorzów Wielkopolski - gmina miejska";"081109515 ";" ";niepubliczna;"Bez kategorii";"brak specyfiki";"WANDA DŁUGOSZ - BUJAK";"GELINO GW SP. Z O.O.";"Spółki Handlowe";ŁÓDZKIE;Łódź;Łódź-Śródmieście;2012-09-30;;samodzielna;;;
13914;"Zespół szkół i placówek oświatowych";"ZESPÓŁ SZKÓŁ SPECJALNYCH NR 14 W GORZOWIE WLKP.";"ul. Ignacego Mościckiego";"3 ";" ";"66-400 ";"Gorzów Wielkopolski";13390;0935140;0861011;"957835281 ";" ";zss14@edu.gorzow.pl;http://;LUBUSKIE;"Gorzów Wielkopolski";"Gorzów Wielkopolski - gmina miejska";"210203456 ";"5991132572 ";publiczna;"Bez kategorii";"brak specyfiki";"Emil Błaszkowski";"MIASTO GORZÓW WIELKOPOLSKI";"Miasto na prawach powiatu";LUBUSKIE;"Gorzów Wielkopolski";"Gorzów Wielkopolski";1994-01-01;;zespół;;;
83221;Technikum;"TECHNIKUM NR 8 W GORZOWIE WLKP.";"ul. Śląska";"20 ";" ";"66-400 ";"Gorzów Wielkopolski";22308;0935140;0861011;"957228539 ";" ";zs12@edu.gorzow.pl;http://;LUBUSKIE;"Gorzów Wielkopolski";"Gorzów Wielkopolski - gmina miejska";"211242381 ";"5991101838 ";publiczna;"Dzieci lub młodzież";"brak specyfiki";"ALICJA BORKOWSKA";"MIASTO GORZÓW WIELKOPOLSKI";"Miasto na prawach powiatu";LUBUSKIE;"Gorzów Wielkopolski";"Gorzów Wielkopolski";2002-01-23;;samodzielna;;;
125887;"Liceum ogólnokształcące";"LICEUM OGÓLNOKSZTAŁCĄCE DLA DOROSŁYCH ""ŻAK""";"ul. Fryderyka Chopina";"52 ";" ";"66-400 ";"Gorzów Wielkopolski";02849;0935140;0861011;"957352653 ";"957352654 ";gorzow@zak.edu.pl;http://;LUBUSKIE;"Gorzów Wielkopolski";"Gorzów Wielkopolski - gmina miejska";"360089018 ";" ";niepubliczna;Dorośli;"brak specyfiki";"P.O. GRAŻYNA WINKSZNO";"CENTRUM NAUKI I BIZNESU ""ŻAK"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ";"Spółki Handlowe";ŁÓDZKIE;Łódź;Łódź-Górna;2010-08-26;;samodzielna;;;
107028;"Niepubliczna placówka kształcenia ustawicznego i praktycznego";"STOWARZYSZENIE KSIĘGOWYCH W POLSCE NIEPUBLICZNA PLACÓWKA KSZTAŁCENIA USTAWICZNEGO ODDZIAŁU OKRĘGOWEGO W GORZOWIE WLKP.";"ul. gen. Władysława Sikorskiego";"81 ";" ";"66-400 ";"Gorzów Wielkopolski";19907;0935140;0861011;"957225391 ";" ";biuro@gorzow.skwp.pl;http://;LUBUSKIE;"Gorzów Wielkopolski";"Gorzów Wielkopolski - gmina miejska";"081106221 ";" ";niepubliczna;"Bez kategorii";"brak specyfiki";"Krystyna Gładysz";"STOWARZYSZENIE KSIĘGOWYCH W POLSCE";Stowarzyszenia;MAZOWIECKIE;Warszawa;Śródmieście;1993-03-15;;samodzielna;;;
133303;"Niepubliczna placówka oświatowo-wychowawcza w systemie oświaty";"PRYWATNA SZKOŁA MUZYCZNA ZBIORCZYK";"ul. Górczyńska";"23 ";" ";"66-400 ";"Gorzów Wielkopolski";05927;0935140;0861011;"502637362 ";" ";muzycznazbiorczyk@o2.pl;http://;LUBUSKIE;"Gorzów Wielkopolski";"Gorzów Wielkopolski - gmina miejska";"366980816 ";"5991022441 ";niepubliczna;"Bez kategorii";"brak specyfiki";"Mieczysław Zbiorczyk";"MIECZYSŁAW ZBIORCZYKA";"Osoba fizyczna";LUBUSKIE;"Gorzów Wielkopolski";"Gorzów Wielkopolski";2017-02-13;;samodzielna;;;
86843;Przedszkole;"PRYWATNE PRZEDSZKOLE ELEMELEK";"ul. Kostrzyńska";"64 ";" ";"66-400 ";"Gorzów Wielkopolski";09495;0935140;0861011;"692447160 ";" ";info@elemelek.net;http://www.elemelek.net;LUBUSKIE;"Gorzów Wielkopolski";"Gorzów Wielkopolski - gmina miejska";"081088718 ";" ";niepubliczna;"Dzieci lub młodzież";"brak specyfiki";"Ewa Śmiechowska";"MARTA SOBIESZEK";"Osoba fizyczna";LUBUSKIE;"Gorzów Wielkopolski";"Gorzów Wielkopolski";2011-02-28;;samodzielna;;;
61832;Przedszkole;"MIEJSKIE PRZEDSZKOLE INTEGRACYJNE NR 27 IM. WESOŁYCH KRASNALI W GORZOWIE WLKP.";"ul. Śląska";"42 ";" ";"66-400 ";"Gorzów Wielkopolski";22308;0935140;0861011;"957369606 ";" ";p27@edu.gorzow.pl;http://;LUBUSKIE;"Gorzów Wielkopolski";"Gorzów Wielkopolski - gmina miejska";"080487132 ";"5993138202 ";publiczna;"Dzieci lub młodzież";"brak specyfiki";"Elżbieta Anacka";"MIASTO GORZÓW WIELKOPOLSKI";"Miasto na prawach powiatu";LUBUSKIE;"Gorzów Wielkopolski";"Gorzów Wielkopolski";2010-05-26;;samodzielna;;;
114100;Przedszkole;"PRZEDSZKOLE SPECJALNE DLA DZIECI Z AUTYZMEM";"ul. Małyszyńska";"8 ";" ";"66-400 ";"Gorzów Wielkopolski";12217;0935140;0861011;"957226097 ";" ";autyzm1_gorzow@wp.pl;http://www.autyzm-gorzow.org;LUBUSKIE;"Gorzów Wielkopolski";"Gorzów Wielkopolski - gmina miejska";"081128949 ";"5993100197 ";niepubliczna;"Dzieci lub młodzież";specjalna;"Alicja Pławsiuk";"STOWARZYNIE NA RZECZ OSÓB Z AUTYZMEM";Stowarzyszenia;LUBUSKIE;"Gorzów Wielkopolski";"Gorzów Wielkopolski";2009-08-12;;samodzielna;;;
83240;Technikum;"TECHNIKUM NR 2 W GORZOWIE WLKP.";"ul. 30 Stycznia";"29 ";" ";"66-400 ";"Gorzów Wielkopolski";21465;0935140;0861011;"957223595 ";" ";zsek@edu.gorzow.pl;http://;LUBUSKIE;"Gorzów Wielkopolski";"Gorzów Wielkopolski - gmina miejska";"211260717 ";" ";publiczna;"Dzieci lub młodzież";"brak specyfiki";;"MIASTO GORZÓW WIELKOPOLSKI";"Miasto na prawach powiatu";LUBUSKIE;"Gorzów Wielkopolski";"Gorzów Wielkopolski";1994-01-01;;"szkoła/placówka w zespole";"Zespół szkół i placówek oświatowych";4486;"ZESPÓŁ SZKÓŁ EKONOMICZNYCH IM. STEFANA STARZYŃSKIEGO W GORZOWIE WLKP."
57366;Przedszkole;"PRZEDSZKOLE MIEJSKIE NR 19 IM. JANA BRZECHWY W GORZOWIE WLKP.";"ul. 9 Maja";"7 ";" ";"66-400 ";"Gorzów Wielkopolski";11941;0935140;0861011;"957288680 ";" ";p19@edu.gorzow.pl;http://www.p19.edu.gorzow.pl;LUBUSKIE;"Gorzów Wielkopolski";"Gorzów Wielkopolski - gmina miejska";"080483507 ";"5993136700 ";publiczna;"Dzieci lub młodzież";"brak specyfiki";"EWA GROMACKA";"MIASTO GORZÓW WIELKOPOLSKI";"Miasto na prawach powiatu";LUBUSKIE;"Gorzów Wielkopolski";"Gorzów Wielkopolski";2010-05-26;;samodzielna;;;
80867;"Szkoła podstawowa";"SZKOŁA PODSTAWOWA NR 6 Z ODDZIAŁAMI SPORTOWYMI IM. WŁADYSŁAWA BRONIEWSKIEGO W GORZOWIE WLKP.";"ul. Gwiaździsta";"14 ";" ";"66-400 ";"Gorzów Wielkopolski";06422;0935140;0861011;"957202715 ";" ";sp6@edu.gorzow.pl;http://;LUBUSKIE;"Gorzów Wielkopolski";"Gorzów Wielkopolski - gmina miejska";"211260781 ";"5992564055 ";publiczna;"Dzieci lub młodzież";"brak specyfiki";"BOGUMIŁA HAŁAS";"MIASTO GORZÓW WIELKOPOLSKI";"Miasto na prawach powiatu";LUBUSKIE;"Gorzów Wielkopolski";"Gorzów Wielkopolski";1999-06-08;;samodzielna;;;
131388;"Szkoła podstawowa";"SZKOŁA PODSTAWOWA SOWA W GORZOWIE WLKP.";"ul. Młyńska";"4 ";" ";"66-400 ";"Gorzów Wielkopolski";13132;0935140;0861011;"957226097 ";"957226097 ";spsowa@wp.pl;http://www.autyzm-gorzow.org/;LUBUSKIE;"Gorzów Wielkopolski";"Gorzów Wielkopolski - gmina miejska";"365157428 ";"5993206576 ";niepubliczna;"Dzieci lub młodzież";specjalna;"Magdalena Chmiel";"STOWARZYNIE NA RZECZ OSÓB Z AUTYZMEM";Stowarzyszenia;LUBUSKIE;"Gorzów Wielkopolski";"Gorzów Wielkopolski";2016-08-01;;samodzielna;;;
12306;"Zespół szkół i placówek oświatowych";"ZESPÓŁ SZKÓŁ OGRODNICZYCH W GORZOWIE WLKP.";"ul. Poznańska";"23 ";" ";"66-400 ";"Gorzów Wielkopolski";17394;0935140;0861011;"957239524 ";"957239524 ";zsog@edu.gorzow.pl;http://zsogorzow.pl;LUBUSKIE;"Gorzów Wielkopolski";"Gorzów Wielkopolski - gmina miejska";"000094797 ";"5991101531 ";publiczna;"Bez kategorii";"brak specyfiki";"JOLANTA ZIELIŃSKA";"MIASTO GORZÓW WIELKOPOLSKI";"Miasto na prawach powiatu";LUBUSKIE;"Gorzów Wielkopolski";"Gorzów Wielkopolski";1975-12-15;;zespół;;;
114105;"Ośrodek Rewalidacyjno-Wychowawczy";"OŚRODEK REWALIDACYJNO - EDUKACYJNO - WYCHOWAWCZY DLA DZIECI I MŁODZIEŻY Z AUTYZMEM";"ul. Franciszka Walczaka";"42 ";" ";"66-400 ";"Gorzów Wielkopolski";23519;0935140;0861011;"957226097 ";" ";autyzm1_gorzow@wp.pl;http://www.autyzm-gorzow.org;LUBUSKIE;"Gorzów Wielkopolski";"Gorzów Wielkopolski - gmina miejska";"081128955 ";"5992679203 ";niepubliczna;"Bez kategorii";"brak specyfiki";"Ewa Przybylska";"STOWARZYNIE NA RZECZ OSÓB Z AUTYZMEM";Stowarzyszenia;LUBUSKIE;"Gorzów Wielkopolski";"Gorzów Wielkopolski";1999-06-25;;samodzielna;;;
263744;Technikum;"TECHNIKUM TEB EDUKACJI";"ul. gen. Władysława Sikorskiego";"48 ";" ";"66-400 ";"Gorzów Wielkopolski";19907;0935140;0861011;"957881910 ";" ";gorzow@teb-edukacja.pl;http://www.teb.pl;LUBUSKIE;"Gorzów Wielkopolski";"Gorzów Wielkopolski - gmina miejska";"368221180 ";" ";niepubliczna;"Dzieci lub młodzież";"brak specyfiki";"ANNA MEJER";"TEB EDUKACJA SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ";"Spółki Handlowe";WIELKOPOLSKIE;Poznań;"Poznań-Stare Miasto";2013-03-18;;samodzielna;;;
71610;"Szkoła muzyczna I stopnia";"SZKOŁA MUZYCZNA I STOPNIA IM. WŁADYSŁAWA JANA CIESIELSKIEGO W GORZOWIE WLKP.";"ul. Teatralna";"8 ";" ";"66-400 ";"Gorzów Wielkopolski";22723;0935140;0861011;"957352489 ";" ";sm2@edu.gorzow.pl;http://sm2.edu.gorzow.pl;LUBUSKIE;"Gorzów Wielkopolski";"Gorzów Wielkopolski - gmina miejska";"211194498 ";"5992725860 ";publiczna;"Bez kategorii";"brak specyfiki";"Izabela Serpina";"MINISTERSTWO KULTURY I DZIEDZICTWA NARODOWEGO";"Minister ds. kultury i dziedzictwa narodowego";MAZOWIECKIE;Warszawa;Śródmieście;2001-08-28;;samodzielna;;;
118536;Przedszkole;"PRZEDSZKOLE NIEPUBLICZNE ""WESOŁA GROMADKA""";"ul. Żwirowa";"93 A ";" ";"66-400 ";"Gorzów Wielkopolski";26611;0935140;0861011;"601775309 ";" ";info.wesolagromadka@gmail.com;http://www.wesolagromadka.pl;LUBUSKIE;"Gorzów Wielkopolski";"Gorzów Wielkopolski - gmina miejska";"081152238 ";" ";niepubliczna;"Dzieci lub młodzież";"brak specyfiki";"Teresa Skowron";"Teresa Skowron";"Osoba fizyczna";LUBUSKIE;"Gorzów Wielkopolski";"Gorzów Wielkopolski";2013-07-23;;samodzielna;;;
83242;Technikum;"TECHNIKUM NR 3 W GORZOWIE WLKP.";"ul. Okólna";"35 ";" ";"66-400 ";"Gorzów Wielkopolski";14890;0935140;0861011;"957225242 ";" ";zsg@edu.gorzow.pl;http://;LUBUSKIE;"Gorzów Wielkopolski";"Gorzów Wielkopolski - gmina miejska";"211261763 ";" ";publiczna;"Dzieci lub młodzież";"brak specyfiki";;"MIASTO GORZÓW WIELKOPOLSKI";"Miasto na prawach powiatu";LUBUSKIE;"Gorzów Wielkopolski";"Gorzów Wielkopolski";1999-01-01;;"szkoła/placówka w zespole";"Zespół szkół i placówek oświatowych";4489;"ZESPÓŁ SZKÓŁ GASTRONOMICZNYCH IM. FEBRONII GAJEWSKIEJ-KARAMAĆ W GORZOWIE WLKP."
80870;"Szkoła podstawowa";"SZKOŁA PODSTAWOWA NR 13 Z ODDZIAŁAMI INTEGRACYJNYMI I ODDZIAŁAMI SPORTOWYMI IM. ARKADEGO FIEDLERA W GORZOWIE WLKP.";"ul. Szwoleżerów";"2 ";" ";"66-400 ";"Gorzów Wielkopolski";22183;0935140;0861011;"957322237 ";" ";sp13@edu.gorzow.pl;http://;LUBUSKIE;"Gorzów Wielkopolski";"Gorzów Wielkopolski - gmina miejska";"211261438 ";"5992546838 ";publiczna;"Dzieci lub młodzież";"brak specyfiki";"JOLANTA SIKORA";"MIASTO GORZÓW WIELKOPOLSKI";"Miasto na prawach powiatu";LUBUSKIE;"Gorzów Wielkopolski";"Gorzów Wielkopolski";1999-01-01;;samodzielna;;;
61831;Przedszkole;"MIEJSKIE PRZEDSZKOLE INTEGRACYJNE NR 14 IM. PRZYJACIÓŁ DZIECI W GORZOWIE WLKP.";"ul. Jana Kasprowicza";"10 ";" ";"66-400 ";"Gorzów Wielkopolski";08153;0935140;0861011;"957226287 ";" ";p14@edu.gorzow.pl;http://;LUBUSKIE;"Gorzów Wielkopolski";"Gorzów Wielkopolski - gmina miejska";"080480816 ";"5993137556 ";publiczna;"Dzieci lub młodzież";"brak specyfiki";"Halina Jeziorska";"MIASTO GORZÓW WIELKOPOLSKI";"Miasto na prawach powiatu";LUBUSKIE;"Gorzów Wielkopolski";"Gorzów Wielkopolski";2010-05-26;;samodzielna;;;
126185;"Niepubliczna placówka kształcenia ustawicznego i praktycznego";"EDUATUT CENTRUM SZKOLENIOWE W GORZOWIE WIELKOPOLSKIM";"ul. Fryderyka Chopina";"52 ";" ";"66-400 ";"Gorzów Wielkopolski";02849;0935140;0861011;"531552861 ";" ";w.dlugosz-bujak@atutszkola.pl;http://www.atutszkola.pl;LUBUSKIE;"Gorzów Wielkopolski";"Gorzów Wielkopolski - gmina miejska";"360166747 ";" ";niepubliczna;"Bez kategorii";"brak specyfiki";"WANDA DŁUGOSZ BUJAK";"GELINO GW SP. Z O.O.";"Spółki Handlowe";ŁÓDZKIE;Łódź;Łódź-Śródmieście;2009-03-17;;samodzielna;;;
262591;"Szkoła podstawowa";"SZKOŁA PODSTAWOWA NR 2 Z ODDZIAŁAMI SPORTOWYMI IM. SZARYCH SZEREGÓW W GORZOWIE WLKP.";"ul. Ludwika Zamenhofa";"2a ";" ";"66-400 ";"Gorzów Wielkopolski";25536;0935140;0861011;"957289295 ";" ";sp2@edu.gorzow.pl;http://www.sp2.edu.gorzow.pl;LUBUSKIE;"Gorzów Wielkopolski";"Gorzów Wielkopolski - gmina miejska";"368039497 ";"5993207742 ";publiczna;"Dzieci lub młodzież";"brak specyfiki";"AGNIESZKA WRONIAK";"MIASTO GORZÓW WIELKOPOLSKI";"Miasto na prawach powiatu";LUBUSKIE;"Gorzów Wielkopolski";"Gorzów Wielkopolski";2017-08-21;;samodzielna;;;
132165;Przedszkole;"NIEPUBLICZNE PRZEDSZKOLE ""NIBYLANDIA""";"ul. Folwarczna";"10 ";" ";"66-400 ";"Gorzów Wielkopolski";05109;0935140;0861011;"691724551 ";" ";biuro@nibylandia.gorzow.pl;http://www.nibylandia.gorzow.pl;LUBUSKIE;"Gorzów Wielkopolski";"Gorzów Wielkopolski - gmina miejska";"365492049 ";"5991220514 ";niepubliczna;"Dzieci lub młodzież";"brak specyfiki";"AGNIESZKA CWOJDZIŃSKA";"AGNIESZKA CWOJDZIŃSKA";"Osoba fizyczna";LUBUSKIE;gorzowski;Deszczno;2016-08-30;;samodzielna;;;
83252;"Liceum ogólnokształcące";"I LICEUM OGÓLNOKSZTAŁCĄCE DLA DOROSŁYCH W GORZOWIE WLKP.";"ul. Aleksandra Puszkina";"31 ";" ";"66-400 ";"Gorzów Wielkopolski";18209;0935140;0861011;"957204842 ";" ";1lo@edu.gorzow.pl;http://;LUBUSKIE;"Gorzów Wielkopolski";"Gorzów Wielkopolski - gmina miejska";"081087535 ";" ";publiczna;Dorośli;"brak specyfiki";;"MIASTO GORZÓW WIELKOPOLSKI";"Miasto na prawach powiatu";LUBUSKIE;"Gorzów Wielkopolski";"Gorzów Wielkopolski";1994-09-01;;"szkoła/placówka w zespole";"Zespół szkół i placówek oświatowych";12237;"ZESPÓŁ SZKÓŁ OGÓLNOKSZTAŁCĄCYCH NR 1 W GORZOWIE WLKP."
